0.505051 	-0.337383
0.515152 	-0.338178
0.525253 	-0.338973
0.535354 	-0.339785
0.545455 	-0.340775
0.555556 	-0.341764
0.565657 	-0.342754
0.575758 	-0.343458
0.585859 	-0.343724
0.59596 	-0.343989
0.606061 	-0.344255
0.616162 	-0.344377
0.626263 	-0.344293
0.636364 	-0.344209
0.646465 	-0.344125
0.656566 	-0.344012
0.666667 	-0.343662
0.676768 	-0.343312
0.686869 	-0.342961
0.69697 	-0.342611
0.707071 	-0.342169
0.717172 	-0.341618
0.727273 	-0.341067
0.737374 	-0.340516
0.747475 	-0.339965
0.757576 	-0.339354
0.767677 	-0.338667
0.777778 	-0.33798
0.787879 	-0.337293
0.79798 	-0.336606
0.808081 	-0.335918
0.818182 	-0.335141
0.828283 	-0.334365
0.838384 	-0.333588
0.848485 	-0.332811
0.858586 	-0.332035
0.868687 	-0.331248
0.878788 	-0.330406
0.888889 	-0.329564
0.89899 	-0.328722
0.909091 	-0.32788
0.919192 	-0.327038
0.929293 	-0.326196
0.939394 	-0.32539
0.949495 	-0.324592
0.959596 	-0.323793
0.969697 	-0.322995
0.979798 	-0.322196
0.989899 	-0.321397
1 	-0.320599
