0.505051 	-0.307745
0.515152 	-0.308536
0.525253 	-0.309328
0.535354 	-0.310136
0.545455 	-0.311122
0.555556 	-0.312108
0.565657 	-0.313094
0.575758 	-0.313796
0.585859 	-0.314063
0.59596 	-0.31433
0.606061 	-0.314598
0.616162 	-0.314722
0.626263 	-0.314642
0.636364 	-0.314562
0.646465 	-0.314482
0.656566 	-0.314373
0.666667 	-0.314029
0.676768 	-0.313685
0.686869 	-0.313341
0.69697 	-0.312996
0.707071 	-0.312561
0.717172 	-0.312017
0.727273 	-0.311474
0.737374 	-0.31093
0.747475 	-0.310387
0.757576 	-0.309785
0.767677 	-0.309106
0.777778 	-0.308428
0.787879 	-0.30775
0.79798 	-0.307072
0.808081 	-0.306392
0.818182 	-0.305625
0.828283 	-0.304858
0.838384 	-0.304091
0.848485 	-0.303324
0.858586 	-0.302557
0.868687 	-0.30178
0.878788 	-0.300949
0.888889 	-0.300117
0.89899 	-0.299285
0.909091 	-0.298453
0.919192 	-0.297622
0.929293 	-0.29679
0.939394 	-0.295995
0.949495 	-0.295207
0.959596 	-0.294419
0.969697 	-0.293631
0.979798 	-0.292844
0.989899 	-0.292056
1 	-0.291268
