2 	-3.94941 	-1.32434e-17 	-0.0677048
2 	-3.84941 	-1.32434e-17 	-0.067998
2 	-3.75173 	-1.32434e-17 	-0.0685661
2 	-3.65632 	-1.32434e-17 	-0.0693935
2 	-3.56313 	-1.35903e-17 	-0.0704669
2 	-3.47209 	-1.39373e-17 	-0.0717752
2 	-3.38318 	-1.39373e-17 	-0.0733087
2 	-3.29633 	-1.39373e-17 	-0.0750593
2 	-3.21149 	-1.39373e-17 	-0.0770201
2 	-3.12863 	-1.74067e-17 	-0.0791851
2 	-3.04768 	-2.2264e-17 	-0.0815493
2 	-2.96862 	-2.36517e-17 	-0.0841086
2 	-2.8914 	-2.50395e-17 	-0.0868593
2 	-2.81597 	-2.78151e-17 	-0.0897986
2 	-2.74229 	-2.92028e-17 	-0.092924
2 	-2.67032 	-2.92028e-17 	-0.0962334
2 	-2.60002 	-2.92028e-17 	-0.0997251
2 	-2.53136 	-2.95498e-17 	-0.103398
2 	-2.46428 	-3.33662e-17 	-0.107251
2 	-2.39877 	-4.03051e-17 	-0.111282
2 	-2.33478 	-4.55092e-17 	-0.115492
2 	-2.27227 	-4.7244e-17 	-0.11988
2 	-2.21122 	-5.07134e-17 	-0.124445
2 	-2.15158 	-5.59176e-17 	-0.129187
2 	-2.09333 	-6.25095e-17 	-0.134106
2 	-2.03643 	-6.5979e-17 	-0.139201
2 	-1.98086 	-6.5979e-17 	-0.144472
2 	-1.92657 	-6.5979e-17 	-0.14992
2 	-1.87355 	-6.45912e-17 	-0.155543
2 	-1.82175 	-6.32034e-17 	-0.161343
2 	-1.77116 	-6.18156e-17 	-0.167318
2 	-1.72174 	-6.04279e-17 	-0.173468
2 	-1.67347 	-5.90401e-17 	-0.179795
2 	-1.62633 	-6.04279e-17 	-0.186296
2 	-1.58027 	-6.18156e-17 	-0.192973
2 	-1.53529 	-6.38973e-17 	-0.199826
2 	-1.49135 	-6.5979e-17 	-0.206854
2 	-1.44843 	-6.5979e-17 	-0.214056
2 	-1.40651 	-6.5979e-17 	-0.221431
2 	-1.36556 	-6.45912e-17 	-0.228975
2 	-1.32556 	-6.49382e-17 	-0.236683
